Account|LastName|FirstName|MiddleInitial|City|State|ZipCode|Country|Date|BilledAmount|DatePaid|AmtPaid
|Davis|Ellen|T|Atlanta|GA|30306|USA|2026-06-16|20.00|2026-01-24|20.00
9001|Newton|Ronald|M|Atlanta|GA|30301|USA|2025-12-15|20.78|2026-01-10|21.00
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-05-15|24.44|2026-06-10|24.44
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-06-15|12.22|2026-06-10|12.22
9001|Newton|Ronald|M|Atlanta|GA|30301|USA|2026-03-15|2000.00|2026-04-10|2000
9001|Newton|Ronald|M|Atlanta|GA|30301|USA|2026-04-15|200.78|2026-05-10|201
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-04-15|24.44|2026-05-10|24.44
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-03-15|12.22|2026-04-10|12.22
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-02-15|24.44|2026-03-10|24.44
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-01-15|12.22|2026-02-10|12.22
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-04-15|24.44|2026-05-10|24.44
6001|Williams|Jean|L|Overland Park|KS|66214|USA|2026-03-15|12.22|2026-04-10|12.22
AFXX|Williams|Jean|L|Overland Park|KS|66214|USA|2026-03-15|12.22|2026-04-10|12.22
9001|Newton|Ronald|M|Atlanta|GA|30301|USA|2026-06-15|xxxx.xx|2026-06-16|xxxx.xx
9001|Newton|Ronald|M|Atlanta|GA|30301|USA|2026-06-15|999999999.000|2026-06-16|xx.xx
